pruned_neurals,ACC,ASR
265.0,0.884,0.933
266.0,0.884,0.933
267.0,0.884,0.933
268.0,0.884,0.933
269.0,0.884,0.933
270.0,0.884,0.933
271.0,0.884,0.933
272.0,0.884,0.933
273.0,0.884,0.933
274.0,0.884,0.933
275.0,0.884,0.933
276.0,0.884,0.933
277.0,0.884,0.933
278.0,0.884,0.933
279.0,0.884,0.933
280.0,0.884,0.933
281.0,0.884,0.933
282.0,0.884,0.933
283.0,0.884,0.933
284.0,0.884,0.933
285.0,0.884,0.933
286.0,0.884,0.933
287.0,0.884,0.933
288.0,0.884,0.933
289.0,0.884,0.933
290.0,0.884,0.933
291.0,0.884,0.933
292.0,0.884,0.933
293.0,0.884,0.933
294.0,0.884,0.933
295.0,0.884,0.933
296.0,0.884,0.933
297.0,0.884,0.933
298.0,0.884,0.933
299.0,0.884,0.933
300.0,0.884,0.933
301.0,0.884,0.933
302.0,0.884,0.933
303.0,0.884,0.933
304.0,0.884,0.933
305.0,0.884,0.929
306.0,0.884,0.929
307.0,0.884,0.929
308.0,0.884,0.929
309.0,0.884,0.929
310.0,0.884,0.929
311.0,0.884,0.931
312.0,0.884,0.931
313.0,0.884,0.931
314.0,0.884,0.929
315.0,0.884,0.929
316.0,0.884,0.929
317.0,0.884,0.929
318.0,0.884,0.929
319.0,0.884,0.929
320.0,0.884,0.929
321.0,0.884,0.929
322.0,0.884,0.929
323.0,0.884,0.929
324.0,0.884,0.929
325.0,0.884,0.929
326.0,0.884,0.929
327.0,0.884,0.929
328.0,0.884,0.929
329.0,0.884,0.929
330.0,0.884,0.929
331.0,0.884,0.929
332.0,0.884,0.929
333.0,0.884,0.929
334.0,0.884,0.929
335.0,0.884,0.929
336.0,0.884,0.929
337.0,0.884,0.929
338.0,0.884,0.929
339.0,0.884,0.929
340.0,0.884,0.929
341.0,0.884,0.929
342.0,0.884,0.929
343.0,0.884,0.929
344.0,0.884,0.927
345.0,0.884,0.927
346.0,0.884,0.927
347.0,0.884,0.927
348.0,0.884,0.924
349.0,0.884,0.924
350.0,0.884,0.924
351.0,0.884,0.924
352.0,0.884,0.924
353.0,0.884,0.924
354.0,0.884,0.924
355.0,0.884,0.924
356.0,0.884,0.924
357.0,0.884,0.924
358.0,0.884,0.924
359.0,0.884,0.924
360.0,0.884,0.924
361.0,0.884,0.922
362.0,0.884,0.922
363.0,0.884,0.92
364.0,0.884,0.92
365.0,0.884,0.92
366.0,0.884,0.92
367.0,0.884,0.92
368.0,0.884,0.92
369.0,0.884,0.92
370.0,0.884,0.92
371.0,0.884,0.92
372.0,0.884,0.92
373.0,0.884,0.92
374.0,0.884,0.92
375.0,0.884,0.92
376.0,0.884,0.92
377.0,0.884,0.92
378.0,0.884,0.92
379.0,0.884,0.92
380.0,0.884,0.92
381.0,0.884,0.92
382.0,0.884,0.918
383.0,0.884,0.918
384.0,0.884,0.918
385.0,0.884,0.918
386.0,0.884,0.918
387.0,0.884,0.918
388.0,0.884,0.918
389.0,0.884,0.918
390.0,0.884,0.913
391.0,0.884,0.913
392.0,0.884,0.909
393.0,0.884,0.911
394.0,0.884,0.913
395.0,0.884,0.913
396.0,0.884,0.913
397.0,0.884,0.913
398.0,0.884,0.904
399.0,0.884,0.907
400.0,0.884,0.904
401.0,0.884,0.904
402.0,0.884,0.904
403.0,0.884,0.904
404.0,0.884,0.9
405.0,0.884,0.898
406.0,0.884,0.898
407.0,0.884,0.898
408.0,0.884,0.898
409.0,0.884,0.898
410.0,0.882,0.898
411.0,0.882,0.898
412.0,0.882,0.898
413.0,0.882,0.898
414.0,0.882,0.898
415.0,0.88,0.898
416.0,0.88,0.898
417.0,0.88,0.898
418.0,0.88,0.898
419.0,0.88,0.898
420.0,0.878,0.898
421.0,0.876,0.898
422.0,0.876,0.898
423.0,0.882,0.898
424.0,0.876,0.898
425.0,0.875,0.898
426.0,0.875,0.896
427.0,0.875,0.896
428.0,0.875,0.891
429.0,0.875,0.891
430.0,0.875,0.891
431.0,0.875,0.891
432.0,0.876,0.889
433.0,0.875,0.893
434.0,0.875,0.893
435.0,0.875,0.887
436.0,0.873,0.884
437.0,0.873,0.884
438.0,0.873,0.882
439.0,0.873,0.88
440.0,0.873,0.88
441.0,0.873,0.871
442.0,0.875,0.873
443.0,0.876,0.873
444.0,0.876,0.871
445.0,0.876,0.869
446.0,0.875,0.871
447.0,0.875,0.867
448.0,0.875,0.867
449.0,0.875,0.849
450.0,0.876,0.849
451.0,0.876,0.836
452.0,0.875,0.836
453.0,0.876,0.838
454.0,0.867,0.84
455.0,0.865,0.842
456.0,0.865,0.833
457.0,0.865,0.842
458.0,0.867,0.842
459.0,0.867,0.836
460.0,0.865,0.813
461.0,0.867,0.802
462.0,0.869,0.796
463.0,0.867,0.791
464.0,0.867,0.789
465.0,0.865,0.789
466.0,0.871,0.793
467.0,0.871,0.784
468.0,0.869,0.778
469.0,0.867,0.747
470.0,0.869,0.744
471.0,0.865,0.744
472.0,0.857,0.756
473.0,0.859,0.74
474.0,0.861,0.742
475.0,0.859,0.747
476.0,0.861,0.74
477.0,0.861,0.738
478.0,0.863,0.749
479.0,0.863,0.72
480.0,0.861,0.676
481.0,0.863,0.671
482.0,0.861,0.671
483.0,0.855,0.573
484.0,0.851,0.584
485.0,0.849,0.531
486.0,0.849,0.527
487.0,0.841,0.438
488.0,0.833,0.282
489.0,0.833,0.276
490.0,0.831,0.296
491.0,0.811,0.142
492.0,0.825,0.147
493.0,0.835,0.178
494.0,0.823,0.153
495.0,0.823,0.138
496.0,0.795,0.116
497.0,0.745,0.013
498.0,0.763,0.018
499.0,0.687,0.0
500.0,0.631,0.0
501.0,0.568,0.0
502.0,0.51,0.0
503.0,0.482,0.0
504.0,0.502,0.0
505.0,0.42,0.0
506.0,0.382,0.004
507.0,0.388,0.0
508.0,0.365,0.0
509.0,0.313,0.0
510.0,0.255,0.0
511.0,0.133,0.0
